"ID";"Leeftijd";"Marges";"WijkenEnBuurten";"Perioden";"HoogRisicoOpAngstOfDepressie_25"
"216743";"53115";"MW00000";"BU04820402";"2022JJ00";"12.1"
"216747";"53115";"MW00000";"BU04820403";"2022JJ00";"5.9"
"216751";"53115";"MW00000";"BU04820404";"2022JJ00";"16.9"
"216755";"53115";"MW00000";"WK048205  ";"2022JJ00";"15.2"
"216759";"53115";"MW00000";"BU04820501";"2022JJ00";"15.1"
"216763";"53115";"MW00000";"BU04820502";"2022JJ00";
"216767";"53115";"MW00000";"BU04820503";"2022JJ00";"15.8"
"216771";"53115";"MW00000";"WK048206  ";"2022JJ00";"8"
"216775";"53115";"MW00000";"BU04820601";"2022JJ00";
"216779";"53115";"MW00000";"BU04820602";"2022JJ00";"6.2"
"216783";"53115";"MW00000";"BU04820603";"2022JJ00";"5.9"
"216787";"53115";"MW00000";"BU04820604";"2022JJ00";"9.1"
"216791";"53115";"MW00000";"GM0613    ";"2022JJ00";"9.1"
"216795";"53115";"MW00000";"WK061301  ";"2022JJ00";"7.8"
"216799";"53115";"MW00000";"BU06130101";"2022JJ00";"7.8"
"216803";"53115";"MW00000";"BU06130102";"2022JJ00";"11.7"
"216807";"53115";"MW00000";"BU06130103";"2022JJ00";"6.4"
"216811";"53115";"MW00000";"BU06130104";"2022JJ00";"6.5"
"216815";"53115";"MW00000";"WK061302  ";"2022JJ00";"10.4"
"216819";"53115";"MW00000";"BU06130205";"2022JJ00";"10.4"
"216823";"53115";"MW00000";"BU06130207";"2022JJ00";"5.5"
"216827";"53115";"MW00000";"WK061303  ";"2022JJ00";"9.6"
"216831";"53115";"MW00000";"BU06130308";"2022JJ00";"12.7"
"216835";"53115";"MW00000";"BU06130309";"2022JJ00";"9.1"
"216839";"53115";"MW00000";"BU06130310";"2022JJ00";"10"
"216843";"53115";"MW00000";"BU06130311";"2022JJ00";"9.1"
"216847";"53115";"MW00000";"BU06130312";"2022JJ00";"6.8"
